"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,18/08/17,FC Bayern München,Bayer Leverkusen,3,1,H"
"E0,19/08/17,Hamburger SV,FC Augsburg,1,0,H"
"E0,19/08/17,VfL Wolfsburg,Borussia Dortmund,0,3,A"
"E0,19/08/17,1. FSV Mainz 05,Hannover 96,0,1,A"
"E0,19/08/17,TSG 1899 Hoffenheim,Werder Bremen,1,0,H"
"E0,19/08/17,Hertha BSC,VfB Stuttgart,2,0,H"
"E0,19/08/17,FC Schalke 04,Red Bull Leipzig,2,0,H"
"E0,20/08/17,SC Freiburg,Eintracht Frankfurt,0,0,D"
"E0,20/08/17,Bor. Mönchengladbach,1. FC Köln,1,0,H"
"E0,25/08/17,1. FC Köln,Hamburger SV,1,3,A"
"E0,26/08/17,Eintracht Frankfurt,VfL Wolfsburg,0,1,A"
"E0,26/08/17,Bayer Leverkusen,TSG 1899 Hoffenheim,2,2,D"
"E0,26/08/17,FC Augsburg,Bor. Mönchengladbach,2,2,D"
"E0,26/08/17,VfB Stuttgart,1. FSV Mainz 05,1,0,H"
"E0,26/08/17,Werder Bremen,FC Bayern München,0,2,A"
"E0,26/08/17,Borussia Dortmund,Hertha BSC,2,0,H"
"E0,27/08/17,Red Bull Leipzig,SC Freiburg,4,1,H"
"E0,27/08/17,Hannover 96,FC Schalke 04,1,0,H"
"E0,08/09/17,Hamburger SV,Red Bull Leipzig,0,2,A"
"E0,09/09/17,FC Augsburg,1. FC Köln,3,0,H"
"E0,09/09/17,Bor. Mönchengladbach,Eintracht Frankfurt,0,1,A"
"E0,09/09/17,SC Freiburg,Borussia Dortmund,0,0,D"
"E0,09/09/17,1. FSV Mainz 05,Bayer Leverkusen,3,1,H"
"E0,09/09/17,VfL Wolfsburg,Hannover 96,1,1,D"
"E0,09/09/17,TSG 1899 Hoffenheim,FC Bayern München,2,0,H"
"E0,10/09/17,Hertha BSC,Werder Bremen,1,1,D"
"E0,10/09/17,FC Schalke 04,VfB Stuttgart,3,1,H"
"E0,15/09/17,Hannover 96,Hamburger SV,2,0,H"
"E0,16/09/17,VfB Stuttgart,VfL Wolfsburg,1,0,H"
"E0,16/09/17,FC Bayern München,1. FSV Mainz 05,4,0,H"
"E0,16/09/17,Eintracht Frankfurt,FC Augsburg,1,2,A"
"E0,16/09/17,Werder Bremen,FC Schalke 04,1,2,A"
