Team,HomeScored,HomeConceded,AwayScored,AwayConceded,HomeMatches,AwayMatches,HomeAttack,HomeDefence,AwayAttack,AwayDefence,GoalDiff,Points
FC Bayern M?nchen,23,4,14,7,8,9,1.916667,0.39779,1.566298,0.518519,26,41
FC Schalke 04,16,10,12,11,9,8,1.185185,1.118785,1.19337,0.916667,7,30
Borussia Dortmund,23,14,16,10,8,9,1.916667,1.392265,1.790055,0.740741,15,28
Bayer Leverkusen,17,8,17,15,8,9,1.416667,0.79558,1.901934,1.111111,11,28
Red Bull Leipzig,17,10,10,15,8,9,1.416667,0.994475,1.118785,1.111111,2,28
Bor. M?nchengladbach,13,11,14,17,9,8,0.962963,1.230663,1.392265,1.416667,-1,28
TSG 1899 Hoffenheim,15,7,12,15,9,8,1.111111,0.783149,1.19337,1.25,5,26
Eintracht Frankfurt,9,11,11,7,8,9,0.75,1.093923,1.230663,0.518519,2,26
FC Augsburg,15,12,12,11,9,8,1.111111,1.342541,1.19337,0.916667,4,24
Hertha BSC,15,14,11,11,9,8,1.111111,1.566298,1.093923,0.916667,1,24
Hannover 96,15,9,9,17,8,9,1.25,0.895028,1.006906,1.259259,-2,23
VfL Wolfsburg,14,12,7,9,9,8,1.037037,1.342541,0.696133,0.75,0,19
SC Freiburg,8,6,9,25,9,8,0.592593,0.671271,0.895028,2.083333,-14,19
VfB Stuttgart,9,5,4,16,8,9,0.75,0.497238,0.447514,1.185185,-8,17
1. FSV Mainz 05,12,13,7,15,9,8,0.888889,1.45442,0.696133,1.25,-9,17
Werder Bremen,8,11,5,9,8,9,0.666667,1.093923,0.559392,0.666667,-7,15
Hamburger SV,8,9,7,16,9,8,0.592593,1.006906,0.696133,1.333333,-10,15
1. FC K?ln,6,15,4,17,8,9,0.5,1.491713,0.447514,1.259259,-22,6
