"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR",Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
"E0,11/08/17,Arsenal FC,Leicester City FC,4,3,H",11/8/2017,Arsenal FC,Leicester City FC,4,3,H
"E0,12/08/17,Watford FC,Liverpool FC,3,3,D",12/8/2017,Watford FC,Liverpool FC,3,3,D
"E0,12/08/17,Crystal Palace FC,Huddersfield Town,0,3,A",12/8/2017,Crystal Palace FC,Huddersfield Town,0,3,A
"E0,12/08/17,West Bromwich Albion FC,AFC Bournemouth,1,0,H",12/8/2017,West Bromwich Albion FC,AFC Bournemouth,1,0,H
"E0,12/08/17,Chelsea FC,Burnley FC,2,3,A",12/8/2017,Chelsea FC,Burnley FC,2,3,A
"E0,12/08/17,Everton FC,Stoke City FC,1,0,H",12/8/2017,Everton FC,Stoke City FC,1,0,H
"E0,12/08/17,Southampton FC,Swansea City FC,0,0,D",12/8/2017,Southampton FC,Swansea City FC,0,0,D
"E0,12/08/17,Brighton & Hove Albion,Manchester City FC,0,2,A",12/8/2017,Brighton & Hove Albion,Manchester City FC,0,2,A
"E0,13/08/17,Newcastle United FC,Tottenham Hotspur FC,0,2,A",13/08/17,Newcastle United FC,Tottenham Hotspur FC,0,2,A
"E0,13/08/17,Manchester United FC,West Ham United FC,4,0,H",13/08/17,Manchester United FC,West Ham United FC,4,0,H
"E0,19/08/17,Swansea City FC,Manchester United FC,0,4,A",19/08/17,Swansea City FC,Manchester United FC,0,4,A
"E0,19/08/17,Southampton FC,West Ham United FC,3,2,H",19/08/17,Southampton FC,West Ham United FC,3,2,H
"E0,19/08/17,AFC Bournemouth,Watford FC,0,2,A",19/08/17,AFC Bournemouth,Watford FC,0,2,A
"E0,19/08/17,Burnley FC,West Bromwich Albion FC,0,1,A",19/08/17,Burnley FC,West Bromwich Albion FC,0,1,A
"E0,19/08/17,Leicester City FC,Brighton & Hove Albion,2,0,H",19/08/17,Leicester City FC,Brighton & Hove Albion,2,0,H
"E0,19/08/17,Liverpool FC,Crystal Palace FC,1,0,H",19/08/17,Liverpool FC,Crystal Palace FC,1,0,H
"E0,19/08/17,Stoke City FC,Arsenal FC,1,0,H",19/08/17,Stoke City FC,Arsenal FC,1,0,H
"E0,20/08/17,Huddersfield Town,Newcastle United FC,1,0,H",20/08/17,Huddersfield Town,Newcastle United FC,1,0,H
"E0,20/08/17,Tottenham Hotspur FC,Chelsea FC,1,2,A",20/08/17,Tottenham Hotspur FC,Chelsea FC,1,2,A
"E0,21/08/17,Manchester City FC,Everton FC,1,1,D",21/08/17,Manchester City FC,Everton FC,1,1,D
"E0,26/08/17,AFC Bournemouth,Manchester City FC,1,2,A",26/08/17,AFC Bournemouth,Manchester City FC,1,2,A
"E0,26/08/17,Crystal Palace FC,Swansea City FC,0,2,A",26/08/17,Crystal Palace FC,Swansea City FC,0,2,A
"E0,26/08/17,Huddersfield Town,Southampton FC,0,0,D",26/08/17,Huddersfield Town,Southampton FC,0,0,D
"E0,26/08/17,Newcastle United FC,West Ham United FC,3,0,H",26/08/17,Newcastle United FC,West Ham United FC,3,0,H
"E0,26/08/17,Watford FC,Brighton & Hove Albion,0,0,D",26/08/17,Watford FC,Brighton & Hove Albion,0,0,D
"E0,26/08/17,Manchester United FC,Leicester City FC,2,0,H",26/08/17,Manchester United FC,Leicester City FC,2,0,H
"E0,27/08/17,West Bromwich Albion FC,Stoke City FC,1,1,D",27/08/17,West Bromwich Albion FC,Stoke City FC,1,1,D
"E0,27/08/17,Chelsea FC,Everton FC,2,0,H",27/08/17,Chelsea FC,Everton FC,2,0,H
"E0,27/08/17,Liverpool FC,Arsenal FC,4,0,H",27/08/17,Liverpool FC,Arsenal FC,4,0,H
"E0,27/08/17,Tottenham Hotspur FC,Burnley FC,1,1,D",27/08/17,Tottenham Hotspur FC,Burnley FC,1,1,D
"E0,09/09/17,Manchester City FC,Liverpool FC,5,0,H",9/9/2017,Manchester City FC,Liverpool FC,5,0,H
"E0,09/09/17,Arsenal FC,AFC Bournemouth,3,0,H",9/9/2017,Arsenal FC,AFC Bournemouth,3,0,H
"E0,09/09/17,Brighton & Hove Albion,West Bromwich Albion FC,3,1,H",9/9/2017,Brighton & Hove Albion,West Bromwich Albion FC,3,1,H
"E0,09/09/17,Everton FC,Tottenham Hotspur FC,0,3,A",9/9/2017,Everton FC,Tottenham Hotspur FC,0,3,A
