Team,HomeScored,HomeConceded,AwayScored,AwayConceded,HomeMatches,AwayMatches,HomeAttack,HomeDefence,AwayAttack,AwayDefence,GoalDiff,Points
FC Barcelona,26,4,19,3,8,9,2.321429,0.408163,2.181122,0.238095,38,45
Club Atl?tico de Madrid,8,3,17,5,7,10,0.816327,0.27551,2.230321,0.357143,17,36
Valencia CF,19,5,17,12,9,8,1.507937,0.57398,1.734694,1.071429,19,34
Real Madrid CF,19,9,11,5,9,7,1.507937,1.180758,1.122449,0.510204,16,31
Sevilla FC,13,3,7,19,8,9,1.160714,0.306122,0.803571,1.507937,-2,29
Villarreal CF,14,6,10,14,7,10,1.428571,0.55102,1.311953,1,4,27
SD Eibar,17,10,5,19,9,8,1.349206,1.147959,0.510204,1.696429,-7,24
Getafe CF,15,7,7,9,9,8,1.190476,0.803571,0.714286,0.803571,6,23
Real Sociedad de F?tbol,19,17,12,12,9,8,1.507937,1.951531,1.22449,1.071429,2,23
Girona FC,10,13,11,13,9,8,0.793651,1.492347,1.122449,1.160714,-5,23
RC Celta de Vigo,11,10,19,15,8,9,0.982143,1.020408,2.181122,1.190476,5,21
Athletic Club,5,5,13,14,8,9,0.446429,0.510204,1.492347,1.111111,-1,21
CD Leganes,6,6,6,8,7,9,0.612245,0.612245,0.787172,0.634921,-2,21
Real Betis,17,15,8,16,9,8,1.349206,1.721939,0.816327,1.428571,-6,21
RCD Espanyol,9,6,5,15,9,8,0.714286,0.688776,0.510204,1.339286,-7,20
Levante UD,10,15,5,7,10,7,0.714286,1.96793,0.459184,0.714286,-7,18
Deportivo Alav?s,7,13,6,12,9,8,0.555556,1.492347,0.612245,1.071429,-12,15
RC Deportivo La Coruna,10,16,9,18,9,8,0.793651,1.836735,0.918367,1.607143,-15,15
M?laga CF,9,14,4,17,8,9,0.803571,1.428571,0.459184,1.349206,-18,11
UD Las Palmas,8,19,5,19,8,9,0.714286,1.938776,0.57398,1.507937,-25,11
