"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,04/08/17,AS Monaco FC,Toulouse FC,3,2,H"
"E0,05/08/17,Paris Saint-Germain,Amiens SC,2,0,H"
"E0,05/08/17,Montpellier Hérault SC,SM Caen,1,0,H"
"E0,05/08/17,ES Troyes AC,Stade Rennais FC,1,1,D"
"E0,05/08/17,FC Metz,EA Guingamp,1,3,A"
"E0,05/08/17,Olympique Lyonnais,RC Strasbourg Alsace,4,0,H"
"E0,05/08/17,AS Saint-Étienne,OGC Nice,1,0,H"
"E0,06/08/17,OSC Lille,FC Nantes,3,0,H"
"E0,06/08/17,Angers SCO,FC Girondins de Bordeaux,2,2,D"
"E0,06/08/17,Olympique de Marseille,Dijon FCO,3,0,H"
"E0,11/08/17,OGC Nice,ES Troyes AC,1,2,A"
"E0,11/08/17,Stade Rennais FC,Olympique Lyonnais,1,2,A"
"E0,12/08/17,FC Nantes,Olympique de Marseille,0,1,A"
"E0,12/08/17,Toulouse FC,Montpellier Hérault SC,1,0,H"
"E0,12/08/17,Amiens SC,Angers SCO,0,2,A"
"E0,12/08/17,FC Girondins de Bordeaux,FC Metz,2,0,H"
"E0,12/08/17,SM Caen,AS Saint-Étienne,0,1,A"
"E0,13/08/17,RC Strasbourg Alsace,OSC Lille,3,0,H"
"E0,13/08/17,Dijon FCO,AS Monaco FC,1,4,A"
"E0,13/08/17,EA Guingamp,Paris Saint-Germain,0,3,A"
"E0,18/08/17,FC Metz,AS Monaco FC,0,1,A"
"E0,19/08/17,Olympique Lyonnais,FC Girondins de Bordeaux,3,3,D"
"E0,19/08/17,Montpellier Hérault SC,RC Strasbourg Alsace,1,1,D"
"E0,19/08/17,OGC Nice,EA Guingamp,2,0,H"
"E0,19/08/17,AS Saint-Étienne,Amiens SC,3,0,H"
"E0,19/08/17,ES Troyes AC,FC Nantes,0,1,A"
"E0,19/08/17,Stade Rennais FC,Dijon FCO,2,2,D"
"E0,20/08/17,OSC Lille,SM Caen,0,2,A"
"E0,20/08/17,Olympique de Marseille,Angers SCO,1,1,D"
"E0,20/08/17,Paris Saint-Germain,Toulouse FC,6,2,H"
"E0,25/08/17,Paris Saint-Germain,AS Saint-Étienne,3,0,H"
