"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,19/08/17,Juventus Turin,Cagliari Calcio,3,0,H"
"E0,19/08/17,Hellas Verona FC,SSC Napoli,1,3,A"
"E0,20/08/17,Atalanta BC,AS Roma,0,1,A"
"E0,20/08/17,FC Crotone,AC Milan,0,3,A"
"E0,20/08/17,Bologna FC,Torino FC,1,1,D"
"E0,20/08/17,FC Internazionale Milano,ACF Fiorentina,3,0,H"
"E0,20/08/17,SS Lazio,SPAL Ferrara,0,0,D"
"E0,20/08/17,UC Sampdoria,Benevento Calcio,2,1,H"
"E0,20/08/17,US Sassuolo Calcio,Genoa CFC,0,0,D"
"E0,20/08/17,Udinese Calcio,AC Chievo Verona,1,2,A"
"E0,26/08/17,Benevento Calcio,Bologna FC,0,1,A"
"E0,26/08/17,Genoa CFC,Juventus Turin,2,4,A"
"E0,26/08/17,AS Roma,FC Internazionale Milano,1,3,A"
"E0,27/08/17,Torino FC,US Sassuolo Calcio,3,0,H"
"E0,27/08/17,FC Crotone,Hellas Verona FC,0,0,D"
"E0,27/08/17,ACF Fiorentina,UC Sampdoria,1,2,A"
"E0,27/08/17,AC Milan,Cagliari Calcio,2,1,H"
"E0,27/08/17,SSC Napoli,Atalanta BC,3,1,H"
"E0,27/08/17,SPAL Ferrara,Udinese Calcio,3,2,H"
"E0,27/08/17,AC Chievo Verona,SS Lazio,1,2,A"
"E0,09/09/17,Juventus Turin,AC Chievo Verona,3,0,H"
"E0,10/09/17,FC Internazionale Milano,SPAL Ferrara,2,0,H"
"E0,10/09/17,Atalanta BC,US Sassuolo Calcio,2,1,H"
"E0,10/09/17,Cagliari Calcio,FC Crotone,1,0,H"
"E0,10/09/17,Hellas Verona FC,ACF Fiorentina,0,5,A"
"E0,10/09/17,Udinese Calcio,Genoa CFC,1,0,H"
"E0,10/09/17,SS Lazio,AC Milan,4,1,H"
"E0,10/09/17,Benevento Calcio,Torino FC,0,1,A"
"E0,10/09/17,Bologna FC,SSC Napoli,0,3,A"
"E0,16/09/17,FC Crotone,FC Internazionale Milano,0,2,A"
"E0,16/09/17,ACF Fiorentina,Bologna FC,2,1,H"
"E0,16/09/17,AS Roma,Hellas Verona FC,3,0,H"
"E0,17/09/17,US Sassuolo Calcio,Juventus Turin,1,3,A"
"E0,17/09/17,SPAL Ferrara,Cagliari Calcio,0,2,A"
"E0,17/09/17,Torino FC,UC Sampdoria,2,2,D"
"E0,17/09/17,SSC Napoli,Benevento Calcio,6,0,H"
"E0,17/09/17,AC Milan,Udinese Calcio,2,1,H"
"E0,17/09/17,AC Chievo Verona,Atalanta BC,1,1,D"
"E0,17/09/17,Genoa CFC,SS Lazio,2,3,A"
"E0,19/09/17,Bologna FC,FC Internazionale Milano,1,1,D"
"E0,20/09/17,Benevento Calcio,AS Roma,0,4,A"
"E0,20/09/17,SS Lazio,SSC Napoli,1,4,A"
"E0,20/09/17,Atalanta BC,FC Crotone,5,1,H"
"E0,20/09/17,Udinese Calcio,Torino FC,2,3,A"
"E0,20/09/17,AC Milan,SPAL Ferrara,2,0,H"
"E0,20/09/17,Cagliari Calcio,US Sassuolo Calcio,0,1,A"
"E0,20/09/17,Genoa CFC,AC Chievo Verona,1,1,D"
"E0,20/09/17,Hellas Verona FC,UC Sampdoria,0,0,D"
"E0,20/09/17,Juventus Turin,ACF Fiorentina,1,0,H"
"E0,23/09/17,AS Roma,Udinese Calcio,3,1,H"
"E0,23/09/17,SPAL Ferrara,SSC Napoli,2,3,A"
"E0,23/09/17,Juventus Turin,Torino FC,4,0,H"
"E0,24/09/17,UC Sampdoria,AC Milan,2,0,H"
"E0,24/09/17,Cagliari Calcio,AC Chievo Verona,0,2,A"
"E0,24/09/17,FC Crotone,Benevento Calcio,2,0,H"
"E0,24/09/17,Hellas Verona FC,SS Lazio,0,3,A"
"E0,24/09/17,FC Internazionale Milano,Genoa CFC,1,0,H"
"E0,24/09/17,US Sassuolo Calcio,Bologna FC,0,1,A"
"E0,24/09/17,ACF Fiorentina,Atalanta BC,1,1,D"
"E0,30/09/17,Udinese Calcio,UC Sampdoria,4,0,H"
"E0,30/09/17,Genoa CFC,Bologna FC,0,1,A"
"E0,01/10/17,SSC Napoli,Cagliari Calcio,3,0,H"
"E0,01/10/17,Benevento Calcio,FC Internazionale Milano,1,2,A"
"E0,01/10/17,AC Chievo Verona,ACF Fiorentina,2,1,H"
"E0,01/10/17,SS Lazio,US Sassuolo Calcio,6,1,H"
"E0,01/10/17,SPAL Ferrara,FC Crotone,1,1,D"
"E0,01/10/17,Torino FC,Hellas Verona FC,2,2,D"
"E0,01/10/17,AC Milan,AS Roma,0,2,A"
"E0,01/10/17,Atalanta BC,Juventus Turin,2,2,D"
"E0,14/10/17,Juventus Turin,SS Lazio,1,2,A"
"E0,14/10/17,AS Roma,SSC Napoli,0,1,A"
"E0,15/10/17,ACF Fiorentina,Udinese Calcio,2,1,H"
"E0,15/10/17,Bologna FC,SPAL Ferrara,2,1,H"
"E0,15/10/17,Cagliari Calcio,Genoa CFC,2,3,A"
"E0,15/10/17,FC Crotone,Torino FC,2,2,D"
"E0,15/10/17,UC Sampdoria,Atalanta BC,3,1,H"
"E0,15/10/17,US Sassuolo Calcio,AC Chievo Verona,0,0,D"
"E0,15/10/17,FC Internazionale Milano,AC Milan,3,2,H"
"E0,16/10/17,Hellas Verona FC,Benevento Calcio,1,0,H"
"E0,21/10/17,UC Sampdoria,FC Crotone,5,0,H"
"E0,21/10/17,SSC Napoli,FC Internazionale Milano,0,0,D"
"E0,22/10/17,AC Chievo Verona,Hellas Verona FC,3,2,H"
"E0,22/10/17,Atalanta BC,Bologna FC,1,0,H"
"E0,22/10/17,Benevento Calcio,ACF Fiorentina,0,3,A"
"E0,22/10/17,AC Milan,Genoa CFC,0,0,D"
"E0,22/10/17,SPAL Ferrara,US Sassuolo Calcio,0,1,A"
"E0,22/10/17,Torino FC,AS Roma,0,1,A"
"E0,22/10/17,Udinese Calcio,Juventus Turin,2,6,A"
"E0,22/10/17,SS Lazio,Cagliari Calcio,3,0,H"
"E0,24/10/17,FC Internazionale Milano,UC Sampdoria,3,2,H"
"E0,25/10/17,Atalanta BC,Hellas Verona FC,3,0,H"
"E0,25/10/17,AS Roma,FC Crotone,1,0,H"
"E0,25/10/17,Bologna FC,SS Lazio,1,2,A"
"E0,25/10/17,Cagliari Calcio,Benevento Calcio,2,1,H"
"E0,25/10/17,AC Chievo Verona,AC Milan,1,4,A"
"E0,25/10/17,ACF Fiorentina,Torino FC,3,0,H"
"E0,25/10/17,Genoa CFC,SSC Napoli,2,3,A"
"E0,25/10/17,US Sassuolo Calcio,Udinese Calcio,0,1,A"
"E0,25/10/17,Juventus Turin,SPAL Ferrara,4,1,H"
"E0,28/10/17,AC Milan,Juventus Turin,0,2,A"
"E0,28/10/17,AS Roma,Bologna FC,1,0,H"
"E0,29/10/17,Benevento Calcio,SS Lazio,1,5,A"
"E0,29/10/17,SPAL Ferrara,Genoa CFC,1,0,H"
"E0,29/10/17,UC Sampdoria,AC Chievo Verona,4,1,H"
"E0,29/10/17,SSC Napoli,US Sassuolo Calcio,3,1,H"
"E0,29/10/17,Udinese Calcio,Atalanta BC,2,1,H"
"E0,29/10/17,FC Crotone,ACF Fiorentina,2,1,H"
"E0,29/10/17,Torino FC,Cagliari Calcio,2,1,H"
"E0,30/10/17,Hellas Verona FC,FC Internazionale Milano,1,2,A"
"E0,04/11/17,Bologna FC,FC Crotone,2,3,A"
"E0,04/11/17,Genoa CFC,UC Sampdoria,0,2,A"
"E0,05/11/17,FC Internazionale Milano,Torino FC,1,1,D"
"E0,05/11/17,Juventus Turin,Benevento Calcio,2,1,H"
"E0,05/11/17,ACF Fiorentina,AS Roma,2,4,A"
"E0,05/11/17,AC Chievo Verona,SSC Napoli,0,0,D"
"E0,05/11/17,Cagliari Calcio,Hellas Verona FC,2,1,H"
"E0,05/11/17,Atalanta BC,SPAL Ferrara,1,1,D"
